Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Price,Revenue,Discount,Weather,Promotion,Competitor_Pricing,Seasonality,Epidemic,Demand
1/1/2022,S001,P0001,Electronics,North,195,102,252,72.72,7417.44,5,Snowy,No,85.73,Winter,No,115
1/1/2022,S001,P0002,Clothing,North,117,117,249,80.16,9378.72,15,Snowy,Yes,92.02,Winter,No,229
1/1/2022,S001,P0003,Clothing,North,247,114,612,62.94,7175.16,10,Snowy,Yes,60.08,Winter,No,157
1/1/2022,S001,P0004,Electronics,North,139,45,102,87.63,3943.35,10,Snowy,No,85.19,Winter,No,52
1/1/2022,S001,P0005,Groceries,North,152,65,271,54.41,3536.65,0,Snowy,No,51.63,Winter,No,59
1/1/2022,S001,P0006,Toys,North,209,60,0,35.53,2131.8,0,Snowy,No,40.01,Winter,No,55
1/1/2022,S001,P0007,Groceries,North,118,81,335,23.27,1884.87,5,Snowy,No,24.78,Winter,No,94
1/1/2022,S001,P0008,Electronics,North,244,42,0,37.79,1587.18,5,Snowy,No,44.85,Winter,No,61
1/1/2022,S001,P0009,Clothing,North,115,88,139,94.2,8289.6,5,Snowy,No,108.7,Winter,No,129
1/1/2022,S001,P0010,Furniture,North,192,70,300,113.35,7934.5,10,Snowy,No,129.98,Winter,No,69
1/1/2022,S001,P0011,Furniture,North,215,51,142,156.34,7973.34,0,Snowy,No,188.96,Winter,No,64
1/1/2022,S001,P0012,Groceries,North,289,121,215,84.48,10222.08,0,Snowy,No,92.02,Winter,No,104
1/1/2022,S001,P0013,Toys,North,279,113,0,33.1,3740.3,5,Snowy,No,39.11,Winter,No,110
1/1/2022,S001,P0014,Groceries,North,252,121,479,80.13,9695.73,10,Snowy,Yes,92.24,Winter,No,165
1/1/2022,S001,P0015,Toys,North,119,55,74,14.39,791.45,5,Snowy,No,13.59,Winter,No,64
1/1/2022,S001,P0016,Groceries,North,103,78,372,38.79,3025.62,10,Snowy,No,35.14,Winter,No,115
1/1/2022,S001,P0017,Toys,North,128,59,0,21.21,1251.39,0,Snowy,No,22.73,Winter,No,75
1/1/2022,S001,P0018,Groceries,North,281,78,0,54.4,4243.2,5,Snowy,No,54.1,Winter,No,66
1/1/2022,S001,P0019,Furniture,North,281,61,0,95.56,5829.16,10,Snowy,No,103.05,Winter,No,58
1/1/2022,S001,P0020,Furniture,North,266,36,0,100.47,3616.92,5,Snowy,No,115.24,Winter,No,43
1/1/2022,S002,P0001,Groceries,South,102,102,331,90.89,9270.78,0,Cloudy,No,81.87,Winter,No,118
1/1/2022,S002,P0002,Toys,South,193,119,192,25.68,3055.92,25,Cloudy,Yes,30.95,Winter,No,105
1/1/2022,S002,P0003,Groceries,South,187,167,596,95.17,15893.39,10,Cloudy,Yes,84.24,Winter,No,171
1/1/2022,S002,P0004,Groceries,South,160,111,339,39.54,4388.94,10,Cloudy,No,46.57,Winter,No,110
1/1/2022,S002,P0005,Electronics,South,155,103,334,92.35,9512.05,0,Cloudy,No,104.72,Winter,No,94
1/1/2022,S002,P0006,Clothing,South,198,79,0,64,5056,5,Cloudy,No,57.37,Winter,No,88
